,date_time,gm_open,gm_close,jnsn_open,jnsn_close,jacobs_open,jacobs_close,albemarle_open,albemarle_close,disney_open,disney_close,att_open,att_close,aal_open,aal_close
0,2020-01-08,35.04,34.65,144.87,144.96,90.91,89.48,70.60,71.18,145.49,145.40,39.33,39.37,27.10,27.84
1,2020-01-09,34.99,35.08,145.76,145.39,89.52,90.89,71.32,72.74,146.47,144.83,38.92,38.80,28.09,27.95
2,2020-01-10,35.15,34.65,145.75,145.06,90.90,90.63,73.01,72.10,145.30,144.62,38.81,38.57,27.96,27.32
3,2020-01-10,35.15,34.65,145.75,145.06,90.90,90.63,73.01,72.10,145.30,144.62,38.81,38.57,27.96,27.32
4,2020-01-10,35.15,34.65,145.75,145.06,90.90,90.63,73.01,72.10,145.30,144.62,38.81,38.57,27.96,27.32
5,2020-01-13,34.69,34.98,145.48,145.70,90.95,91.14,72.95,75.86,144.75,143.88,38.54,38.10,27.32,27.39
6,2020-01-14,35.00,35.15,145.05,146.52,91.10,92.58,76.22,78.18,143.41,145.20,38.06,38.09,27.91,27.53
7,2020-01-15,35.00,35.15,146.40,147.01,92.31,92.77,78.90,80.12,145.71,144.32,37.97,37.87,27.45,27.58
8,2020-01-16,35.21,35.55,147.42,148.20,93.92,93.47,80.36,80.42,145.09,145.12,37.99,38.03,27.79,28.23
9,2020-01-17,35.57,35.60,148.41,149.17,94.00,94.00,80.98,80.90,145.54,144.33,38.05,38.38,28.30,28.40
10,2020-01-17,35.57,35.60,148.41,149.17,94.00,94.00,80.98,80.90,145.54,144.33,38.05,38.38,28.30,28.40
11,2020-01-17,35.57,35.60,148.41,149.17,94.00,94.00,80.98,80.90,145.54,144.33,38.05,38.38,28.30,28.40
12,2020-01-17,35.57,35.60,148.41,149.17,94.00,94.00,80.98,80.90,145.54,144.33,38.05,38.38,28.30,28.40
13,2020-01-21,35.36,34.99,148.58,149.27,94.00,94.79,80.79,81.32,144.24,143.56,38.35,38.52,27.97,27.20
14,2020-01-22,35.13,34.91,146.70,148.25,94.72,94.85,81.18,81.38,144.45,144.01,38.68,39.04,27.51,27.32
15,2020-01-23,34.77,34.88,148.04,148.53,94.44,96.06,80.33,81.90,143.60,142.20,38.96,38.63,27.39,28.80
16,2020-01-24,34.90,34.31,148.58,148.32,96.07,97.00,82.00,81.18,141.40,140.08,38.60,38.50,28.85,27.64
17,2020-01-24,34.90,34.31,148.58,148.32,96.07,97.00,82.00,81.18,141.40,140.08,38.60,38.50,28.85,27.64
18,2020-01-24,34.90,34.31,148.58,148.32,96.07,97.00,82.00,81.18,141.40,140.08,38.60,38.50,28.85,27.64
19,2020-01-27,33.63,33.41,147.52,148.75,95.51,95.28,78.63,78.94,135.86,135.90,38.02,38.25,26.57,26.11
20,2020-01-28,33.57,33.64,148.46,149.50,95.28,94.84,79.70,80.20,136.50,138.37,38.32,38.58,26.36,26.90
21,2020-01-29,33.80,33.60,149.45,150.54,95.22,94.78,80.83,80.73,138.60,136.06,38.50,37.05,26.88,26.80
22,2020-01-30,33.40,33.33,150.03,150.36,93.64,94.49,80.09,80.78,135.09,137.81,36.47,37.43,26.30,27.72
23,2020-01-31,33.25,33.39,149.75,148.87,93.92,92.53,79.80,80.28,138.40,138.31,37.32,37.62,27.50,26.84
24,2020-01-31,33.25,33.39,149.75,148.87,93.92,92.53,79.80,80.28,138.40,138.31,37.32,37.62,27.50,26.84
25,2020-01-31,33.25,33.39,149.75,148.87,93.92,92.53,79.80,80.28,138.40,138.31,37.32,37.62,27.50,26.84
26,2020-02-03,33.56,33.72,149.42,150.17,92.71,93.04,80.79,80.79,139.79,141.32,37.96,36.96,26.93,27.16
27,2020-02-04,34.35,34.37,151.49,151.60,94.32,95.46,82.50,90.43,145.49,144.73,37.08,37.63,27.68,28.43
28,2020-02-05,34.90,35.03,151.72,153.99,96.50,96.75,88.76,87.58,146.60,141.37,37.73,37.81,28.96,29.10
29,2020-02-06,35.05,34.33,154.25,153.53,96.76,96.02,87.57,86.95,141.92,142.70,37.86,38.44,29.26,28.30
30,2020-02-07,34.08,33.63,153.34,151.89,95.78,95.78,85.52,82.54,141.89,141.02,38.45,38.45,28.06,28.38
31,2020-02-07,34.08,33.63,153.34,151.89,95.78,95.78,85.52,82.54,141.89,141.02,38.45,38.45,28.06,28.38
32,2020-02-07,34.08,33.63,153.34,151.89,95.78,95.78,85.52,82.54,141.89,141.02,38.45,38.45,28.06,28.38
33,2020-02-10,33.99,34.25,151.68,151.86,95.41,97.02,83.11,83.25,141.03,142.59,38.42,38.34,28.19,28.79
34,2020-02-11,34.34,35.01,152.29,151.99,97.37,97.73,83.77,84.71,142.85,141.01,38.49,38.17,29.06,29.84
35,2020-02-12,35.33,35.49,151.87,151.09,98.13,99.26,87.02,86.83,141.34,141.85,38.19,38.04,30.00,30.47
36,2020-02-13,35.21,35.29,150.16,150.09,99.04,99.23,85.94,87.93,141.17,140.90,37.88,38.31,30.03,30.09
37,2020-02-14,35.30,34.76,150.56,150.13,99.50,100.66,88.54,89.64,141.10,139.54,38.28,38.25,30.01,29.20
38,2020-02-14,35.30,34.76,150.56,150.13,99.50,100.66,88.54,89.64,141.10,139.54,38.28,38.25,30.01,29.20
39,2020-02-14,35.30,34.76,150.56,150.13,99.50,100.66,88.54,89.64,141.10,139.54,38.28,38.25,30.01,29.20
40,2020-02-14,35.30,34.76,150.56,150.13,99.50,100.66,88.54,89.64,141.10,139.54,38.28,38.25,30.01,29.20
41,2020-02-18,34.25,34.41,150.47,149.14,100.00,100.56,88.79,88.70,139.02,139.14,38.18,38.26,29.04,28.63
42,2020-02-19,34.53,34.92,149.21,148.94,101.05,101.46,89.00,89.34,139.63,141.30,38.24,38.44,28.84,28.33
43,2020-02-20,34.66,35.29,148.61,148.37,102.00,102.03,89.00,94.31,141.63,140.37,38.40,38.61,28.24,28.51
44,2020-02-21,34.99,34.65,148.09,149.93,101.60,103.86,92.15,92.43,139.86,138.97,38.52,38.55,28.12,27.82
45,2020-02-21,34.99,34.65,148.09,149.93,101.60,103.86,92.15,92.43,139.86,138.97,38.52,38.55,28.12,27.82
46,2020-02-21,34.99,34.65,148.09,149.93,101.60,103.86,92.15,92.43,139.86,138.97,38.52,38.55,28.12,27.82
47,2020-02-24,33.64,33.09,146.50,145.91,101.44,101.95,87.87,89.61,132.90,133.01,37.99,38.05,25.98,25.45
48,2020-02-25,33.25,31.75,145.99,144.65,101.85,98.71,90.39,85.83,133.75,128.19,38.11,37.35,25.62,23.12
49,2020-02-26,32.10,32.00,145.35,143.68,99.39,99.83,85.19,85.65,126.12,123.36,37.19,37.10,23.57,22.31
50,2020-02-27,31.30,30.71,142.56,139.12,98.57,93.32,83.11,80.80,119.81,118.04,36.58,35.73,20.85,20.60
51,2020-02-28,29.78,30.50,135.36,134.48,90.89,92.34,78.11,81.85,114.51,117.65,34.00,35.22,19.80,19.05
52,2020-02-28,29.78,30.50,135.36,134.48,90.89,92.34,78.11,81.85,114.51,117.65,34.00,35.22,19.80,19.05
53,2020-02-28,29.78,30.50,135.36,134.48,90.89,92.34,78.11,81.85,114.51,117.65,34.00,35.22,19.80,19.05
54,2020-03-02,30.52,31.42,134.78,140.02,92.57,96.89,82.49,84.30,119.13,119.98,35.37,37.18,19.05,18.86
55,2020-03-03,31.50,30.52,140.00,135.59,96.90,97.60,83.71,82.79,121.15,116.45,37.26,36.30,19.66,17.85
56,2020-03-04,31.00,31.53,137.68,143.48,98.24,101.29,85.06,86.27,118.96,119.18,37.02,38.18,18.36,18.53
57,2020-03-05,30.54,30.10,140.80,142.01,99.23,97.26,83.83,84.77,116.86,113.98,37.40,37.18,17.54,16.04
58,2020-03-06,29.21,28.69,138.48,142.03,94.50,94.07,82.36,82.60,110.76,115.27,36.71,37.03,15.02,15.97
59,2020-03-06,29.21,28.69,138.48,142.03,94.50,94.07,82.36,82.60,110.76,115.27,36.71,37.03,15.02,15.97
60,2020-03-06,29.21,28.69,138.48,142.03,94.50,94.07,82.36,82.60,110.76,115.27,36.71,37.03,15.02,15.97
